Código de instalación;Código de compañía;Cod Alternat;Códigos Calculados;Artic Padre;Cod Pre-pack;Ratio de preempacado;Unidades de empacado;Cod EAN Prod;Parte b;Parte c;Parte d;Parte e;Parte f;Total de LPN de salida;Total Act;Activa asignada;Activa disponible;Total de LPN de entrada;LPN de entrada asignada;LPN de entrada disponible;LPN de entrada sin verificar;Total asignado;Total disponible;Total de inventario;Resumen de inventario interno;Unidades secundarias de resumen de inventario interno;Cantidad de orden abierta
B100;FARMACORP;="7772106009524";="7772106009524";False;;0;0;="7772106009524";;;;;;0;0;0;0;30;0;30;0;0;30;30;30;30;0
B100;FARMACORP;="7772106009531";="7772106009531";False;;0;0;="7772106009531";;;;;;0;0;0;0;18;0;18;0;0;18;18;18;18;0
B100;FARMACORP;="7772107000094";="7772107000094";False;;0;0;="7772107000094";;;;;;0;0;0;0;889;0;889;0;0;889;889;889;889;0
B100;FARMACORP;="7772109000047";="7772109000047";False;;0;0;="7772109000047";;;;;;0;0;0;0;18;0;18;0;0;18;18;18;18;0
B100;FARMACORP;="7772109000108";="7772109000108";False;;0;0;="7772109000108";;;;;;0;0;0;0;4;0;4;0;0;4;4;4;4;0
B100;FARMACORP;="7772109000115";="7772109000115";False;;0;0;="7772109000115";;;;;;0;0;0;0;6;3;3;0;3;3;6;6;6;0
B100;FARMACORP;="7772109000139";="7772109000139";False;;0;0;="7772109000139";;;;;;0;0;0;0;11;7;4;0;7;4;11;11;11;0
B100;FARMACORP;="7772109000153";="7772109000153";False;;0;0;="7772109000153";;;;;;0;0;0;0;11;3;8;0;3;8;11;11;11;0
B100;FARMACORP;="7772109000191";="7772109000191";False;;0;0;="7772109000191";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="7772109000207";="7772109000207";False;;0;0;="7772109000207";;;;;;0;0;0;0;6;0;6;0;0;6;6;6;6;0
B100;FARMACORP;="7772109000337";="7772109000337";False;;0;0;="7772109000337";;;;;;0;0;0;0;15;0;15;0;0;15;15;15;15;0
B100;FARMACORP;="7772112000003";="7772112000003";False;;0;0;="7772112000003";;;;;;0;0;0;0;49;0;49;0;0;49;49;49;49;0
